,Company,Ticker_1,Ticker_2,ESG score,ESG risk
5692,Horace Mann Educators Corp.,NYS,HMN,21.9,Medium
5693,Horiba Ltd.,TKS,6856,15.2,Low
5694,"Horizon Bancorp, Inc. (Indiana)",NAS,HBNC,30.3,High
5695,Horizon Therapeutics Plc,-,,17.2,Low
5696,Hormel Foods Corp.,NYS,HRL,26.1,Medium
5697,HORNBACH Holding AG & Co. KGaA,ETR,HBH,14.2,Low
5698,"Hoshine Silicon Industry Co., Ltd.",SHG,603260,33.1,High
5699,"Hoshino Resorts REIT, Inc.",TKS,3287,18.8,Low
5700,HOSHIZAKI Corp.,TKS,6465,29.2,Medium
5701,Hosiden Corp.,TKS,6804,21.7,Medium
5702,Hosken Consolidated Investments Ltd.,JSE,HCI,55.7,Severe
5703,Hosokawa Micron Corp.,TKS,6277,35.5,High
5704,Hospital Mater Dei SA,BSP,MATD3,31.1,High
5705,"Host Hotels & Resorts, Inc.",NAS,HST,12.9,Low
5706,Hostelworld Group Plc,LON,HSW,29.0,Medium
5707,"Hostess Brands, Inc.",-,,32.6,High
5708,"Hota Industrial Manufacturing Co., Ltd.",TAI,1536,15.2,Low
5709,"Hotai Finance Co., Ltd.",TAI,6592,23.3,Medium
5710,"Hotai Motor Co., Ltd.",TAI,2207,12.8,Low
5711,Hotel Property Investments Ltd.,-,,14.9,Low
5712,"HOTEL SHILLA Co., Ltd.",KRX,008770,22.8,Medium
5713,"Houlihan Lokey, Inc.",NYS,HLI,30.7,High
5714,"House Foods Group, Inc.",TKS,2810,34.0,High
5715,Housing & Urban Development Corp. Ltd.,BOM,540530,18.2,Low
5716,Housing 21,-,,21.3,Medium
5717,Housing Australia,-,,18.6,Low
5718,"Hovnanian Enterprises, Inc.",NYS,HOV,21.6,Medium
5719,"Howard Hughes Holdings, Inc.",NYS,HHH,22.8,Medium
5720,Howden Joinery Group Plc,LON,HWDN,13.9,Low
5721,"Howmet Aerospace, Inc.",NYS,HWM,23.6,Medium
5722,HOWOGE Wohnungsbaugesellschaft mbH,-,,13.8,Low
5723,HOYA Corp.,TKS,7741,15.2,Low
5724,"Hoymiles Power Electronics, Inc.",SHG,688032,37.3,High
5725,"HP, Inc.",NYS,HPQ,10.6,Low
5726,HPCL-Mittal Energy Ltd.,-,,33.8,High
5727,HPS Home Power Solutions AG,-,,19.2,Low
5728,"HPSP Co., Ltd.",KRX,403870,18.8,Low
5729,HS HYOSUNG ADVANCED MATERIALS,KRX,298050,13.0,Low
5730,HS1 Ltd.,-,,23.3,Medium
5731,HSBC Bank Canada,-,,11.2,Low
5732,"HSBC Bank USA, NA",-,,16.4,Low
5733,HSBC Continental Europe,-,,20.7,Medium
5734,HSBC Holdings Plc,LON,HSBA,22.4,Medium
5735,"HSBC USA, Inc.",-,,15.0,Low
5736,"Hsin Kuang Steel Co., Ltd.",TAI,2031,41.1,Severe
5737,HT Media Ltd.,BOM,532662,16.0,Low
5738,HTC Corp.,TAI,2498,21.2,Medium
5739,Hu Lane Associate Inc.,ROCO,6279,12.0,Low
5740,Hua Hong Semiconductor Ltd.,HKG,1347,34.8,High
5741,"Hua Nan Financial Holdings Co., Ltd.",TAI,2880,24.5,Medium
5742,"Hua Xia Bank Co., Ltd.",SHG,600015,33.1,High
5743,"HuaAn Securities Co., Ltd.",SHG,600909,31.1,High
5744,"Huabao Flavours & Fragrances Co., Ltd.",SHE,300741,29.2,Medium
5745,Huabao International Holdings Ltd.,HKG,336,41.8,Severe
5746,"HuaDian Heavy Industries Co., Ltd.",SHG,601226,45.3,Severe
5747,Huadian Power International Corp. Ltd.,HKG,1071,53.3,Severe
5748,"Huadong Medicine Co., Ltd.",SHE,000963,34.1,High
5749,"Huafon Chemical Co., Ltd.",SHE,002064,18.0,Low
5750,"Huafon Microfibre (Shanghai) Co., Ltd.",SHE,300180,25.3,Medium
5751,"Huafu Fashion Co., Ltd.",SHE,002042,26.2,Medium
5752,"Huagong Tech Co., Ltd.",SHE,000988,47.9,Severe
5753,"Huaibei Mining Holdings Co., Ltd.",SHG,600985,58.4,Severe
5754,"Huaihe Energy (Group) Co., Ltd.",SHG,600575,25.1,Medium
5755,"Huaku Development Co., Ltd.",TAI,2548,22.2,Medium
5756,"Hualan Biological Engineering, Inc.",SHE,002007,30.5,High
5757,"Hualan Biological Vaccine, Inc.",SHE,301207,27.9,Medium
5758,Huali Industrial Group Co. Ltd.,SHE,300979,19.1,Low
5759,Huaneng Lancang River Hydropower Inc.,SHG,600025,43.0,Severe
5760,"Huaneng Power International, Inc.",HKG,902,44.8,Severe
5761,Huang Hsiang Construction Corp.,TAI,2545,27.8,Medium
5762,"Huangshan Tourism Development Co., Ltd.",SHG,600054,35.6,High
5763,"Huapont Life Sciences Co., Ltd.",SHE,002004,36.5,High
5764,"Huaren Pharmaceutical Co., Ltd.",SHE,300110,36.6,High
5765,"Huatai Securities Co., Ltd.",HKG,6886,25.2,Medium
5766,"HUAXI Securities Co., Ltd.",SHE,002926,33.2,High
5767,"Huaxia Eye Hospital Group Co., Ltd.",SHE,301267,34.0,High
5768,"Huaxin Cement Co., Ltd.",HKG,6655,31.2,High
5769,"Huayu Automotive Systems Co., Ltd.",SHG,600741,26.4,Medium
5770,"Huazhong In-Vehicle Holdings Co., Ltd.",HKG,6830,32.8,High
5771,"Hub Group, Inc.",NAS,HUBG,21.7,Medium
5772,HUB24 Ltd.,ASX,HUB,18.9,Low
5773,"Hubbell, Inc.",NYS,HUBB,17.9,Low
5774,"Hubei Biocause Pharmaceutical Co., Ltd.",SHE,000627,39.5,High
5775,"Hubei Broadcasting & Television Information Network Co., Ltd.",SHE,000665,21.4,Medium
5776,"Hubei Dinglong Co., Ltd.",SHE,300054,44.2,Severe
5777,"Hubei Energy Group Co., Ltd.",SHE,000883,48.9,Severe
5778,"Hubei Feilihua Quartz Glass Co., Ltd.",SHE,300395,25.2,Medium
5779,"Hubei Jumpcan Pharmaceutical Co., Ltd.",SHG,600566,36.5,High
5780,"Hubei United Development Investment Group Co., Ltd.",-,,45.7,Severe
5781,"Hubei Xingfa Chemicals Group Co., Ltd.",SHG,600141,40.6,Severe
5782,"Hubei Yihua Chemical Industry Co., Ltd.",SHE,000422,53.7,Severe
5783,HUBER+SUHNER AG,SWX,HUBN,12.1,Low
5784,"HubSpot, Inc.",NYS,HUBS,16.7,Low
5785,"Hudbay Minerals, Inc.",TSE,HBM,25.0,Medium
5786,"Hudson Pacific Properties, Inc.",NYS,HPP,14.1,Low
5787,"Hudson Technologies, Inc.",NAS,HDSN,23.8,Medium
5788,Hufvudstaden AB,OME,HUFV.A,16.1,Low
5789,"Hugel, Inc.",KRX,145020,34.8,High
5790,HUGO BOSS AG,ETR,BOSS,12.4,Low
5791,Huhtamäki Oyj,HEL,HUH1V,15.5,Low
5792,"Huizhou Desay SV Automotive Co., Ltd.",SHE,002920,26.6,Medium
5793,"Hulic Co., Ltd.",TKS,3003,16.0,Low
5794,"Hulic Reit, Inc.",TKS,3295,14.3,Low
5795,"Humacyte, Inc.",NAS,HUMA,38.6,High
5796,Human Soft Holding Co. KSCC,KUW,HUMANSOFT,19.3,Low
5797,Humana AB,OME,HUM,23.6,Medium
5798,"Humana, Inc.",NYS,HUM,18.9,Low
5799,"Humanwell Healthcare (Group) Co., Ltd.",SHG,600079,38.8,High
5800,"HUMASIS Co., Ltd.",KRX,205470,32.9,High
5801,Humber River Health,-,,34.5,High
5802,Humble Group AB,OME,HUMBLE,34.5,High
5803,"Humedix Co., Ltd.",KRX,200670,32.6,High
5804,Humm Group Ltd.,ASX,HUM,29.4,Medium
5805,"Hunan Aihua Group Co., Ltd.",SHG,603989,25.4,Medium
5806,"Hunan Corun New Energy Co., Ltd.",SHG,600478,37.6,High
5807,"Hunan Er-Kang Pharmaceutical Co., Ltd.",SHE,300267,37.4,High
5808,"Hunan Friendship & Apollo Commercial Co., Ltd.",SHE,002277,24.9,Medium
5809,"Hunan Goke Microelectronics Co., Ltd.",SHE,300672,45.2,Severe
5810,Hunan Gold Corp. Ltd.,SHE,002155,55.1,Severe
5811,"Hunan New Wellful Co., Ltd.",SHG,600975,44.5,Severe
5812,"Hunan TV & Broadcast Intermediary Co., Ltd.",SHE,000917,23.0,Medium
5813,"Hunan Valin Steel Co., Ltd.",SHE,000932,43.9,Severe
5814,"Hunan Yuneng New Energy Battery Material Co., Ltd.",SHE,301358,28.6,Medium
5815,Hunan Zhongke Electric Co. Ltd.,SHE,300035,19.3,Low
5816,"Hundsun Technologies, Inc.",SHG,600570,21.0,Medium
5817,Hung Poo Real Estate Development Co. Ltd.,TAI,2536,21.9,Medium
5818,"Hung Sheng Construction Co., Ltd.",TAI,2534,16.4,Low
5819,Hungarian Export Import Bank Zrt.,-,,27.9,Medium
5820,Hunt Oil Company of Peru LLC,-,,43.4,Severe
5821,Hunter Douglas NV,-,,16.3,Low
5822,Hunter Group ASA,OSL,HUNT,33.4,High
5823,Hunting Plc,LON,HTG,30.2,High
5824,"Huntington Bancshares, Inc.",NAS,HBAN,16.4,Low
5825,"Huntington Ingalls Industries, Inc.",NYS,HII,34.0,High
5826,Huntsman Corp.,NYS,HUN,24.1,Medium
5827,"Huons Co., Ltd.",KRX,243070,32.4,High
5828,"Huons Global Co., Ltd.",KRX,084110,34.4,High
5829,"Huron Consulting Group, Inc.",NAS,HURN,17.9,Low
5830,Hurtigruten Group AS,-,,20.1,Medium
5831,Husqvarna AB,OME,HUSQ.B,22.1,Medium
5832,"Husteel Co., Ltd.",KRX,005010,45.3,Severe
5833,Hutchison Port Holdings Trust,SES,NS8U,11.3,Low
5834,Hutchison Telecommunications Hong Kong Holdings Ltd.,HKG,215,26.7,Medium
5835,Hutchison Whampoa Ltd.,-,,19.2,Low
5836,HUTCHMED (China) Ltd.,HKG,13,27.3,Medium
5837,"Huuuge, Inc.",WAR,HUG,15.1,Low
5838,"HUYA, Inc.",NYS,HUYA,26.7,Medium
5839,Hwa Create Corp.,SHE,300045,43.6,Severe
5840,"HWASEUNG Industries Co., Ltd.",KRX,006060,34.0,High
5841,"Hwatsing Technology Co., Ltd.",SHG,688120,26.1,Medium
5842,Hyatt Hotels Corp.,NYS,H,29.1,Medium
5843,"HYBE Co., Ltd.",KRX,352820,13.7,Low
5844,Hybio Pharmaceutical Co.. Ltd.,SHE,300199,39.7,High
5845,Hyde Housing Association Ltd.,-,,15.4,Low
5846,Hydro One Ltd.,TSE,H,15.1,Low
5847,"Hydro Ottawa Holding, Inc.",-,,39.1,High
5848,Hydro-Québec,-,,18.1,Low
5849,"Hygeia Healthcare Holdings Co., Ltd.",HKG,6078,32.7,High
5850,"Hygon Information Technology Co., Ltd.",SHG,688041,23.6,Medium
5851,Hyliion Holdings Corp.,ASE,HYLN,23.0,Medium
5852,Hyosung Chemical Corp.,KRX,298000,27.2,Medium
